,Ticker,Name,Währung,Börse,Sektor,Branche
369,ENDP,N/A,N/A,N/A,N/A,N/A
370,ENPH,"Enphase Energy, Inc.",USD,NGM,Technology,Solar
371,ENRNQ,N/A,N/A,YHD,N/A,N/A
372,ENS,EnerSys,USD,NYQ,Industrials,Electrical Equipment & Parts
373,EOG,"EOG Resources, Inc.",USD,NYQ,Energy,Oil & Gas E&P
374,EOP,N/A,N/A,YHD,N/A,N/A
375,EP,Empire Petroleum Corporation,USD,ASE,Energy,Oil & Gas E&P
376,EPAM,"EPAM Systems, Inc.",USD,NYQ,Technology,Information Technology Services
377,EQ,"Equillium, Inc.",USD,NCM,Healthcare,Biotechnology
378,EQIX,"Equinix, Inc.",USD,NMS,Real Estate,REIT - Specialty
379,EQR,Equity Residential,USD,NYQ,Real Estate,REIT - Residential
380,EQT,EQT Corporation,USD,NYQ,Energy,Oil & Gas E&P
381,ERIE,Erie Indemnity Company,USD,NMS,Financial Services,Insurance Brokers
382,ES,Eversource Energy,USD,NYQ,Utilities,Utilities - Regulated Electric
383,ESRX,Express Scripts Holding Company,N/A,YHD,N/A,N/A
384,ESS,"Essex Property Trust, Inc.",USD,NYQ,Real Estate,REIT - Residential
